level_0,index,标题,标题链接,缩略图,right-info,right-info1,lng,lat
23,26,戚家港河,https://www.haodiaoyu.com/diaochang/shanghai/58363.html,http://p5.diaoyur.cn/group5/M00/05/7B/cjd0iVT7I1gbPVuZJU85FlQie-amL.jpg!thum,上海市青浦区,免费,121.13055310467274,31.155454317980737
24,27,江湾,https://www.haodiaoyu.com/diaochang/shanghai/58358.html,http://p3.diaoyur.cn/group3/M00/09/73/cjd0iVd5qHpO4fm0QYtGuaT8olw21.jpg!thum,上海市杨浦区国权北路549号,免费,121.5024101739196,31.326112209775733
25,28,潘泾路金勺路,https://www.haodiaoyu.com/diaochang/shanghai/58349.html,http://p6.diaoyur.cn/group6/M00/05/74/cjd0iVi5E94Gp1rATU7lmVqOCnQW0.jpg!thum,上海市宝山区金石路1466号,免费,121.35518210738208,31.46355117961477
26,29,赵家沟,https://www.haodiaoyu.com/diaochang/shanghai/58347.html,http://p2.diaoyur.cn/group2/M00/09/78/cjd0iV04HRvGNJltKhmSWBkgsiPpY.jpg!thum,上海市浦东新区顾高公路1912号,免费,121.65803157049278,31.306160468579897
27,30,流水大河,https://www.haodiaoyu.com/diaochang/shanghai/58277.html,http://p6.diaoyur.cn/group6/M00/05/67/cjd0iVIhLbZPmsquXgU2kN5pnt8fW.jpg!thum,上海市青浦区赵重路1338号,免费,121.19359941926282,31.17698371074385
28,31,泗泾菜市场旁边小河,https://www.haodiaoyu.com/diaochang/shanghai/58267.html,http://p1.diaoyur.cn/group1/M00/12/FB/cjd0iVvek3ADilECjIBLHp-NG80gz.jpg!thum,上海市松江区鼓浪路,免费,121.28379638009508,31.121618899308
29,32,春岳华仔休闲钓场,https://www.haodiaoyu.com/diaochang/shanghai/58096.html,http://p3.diaoyur.cn/group3/M00/09/34/cjd0iVegyE2inZcmr0VSXxoY1Fzb3.jpg!thum,上海市青浦区X023(沈砖公路),150元/天,121.16547391391512,31.08857133078181
30,33,丰荷农庄休闲垂钓中心,https://www.haodiaoyu.com/diaochang/shanghai/58095.html,http://p6.diaoyur.cn/group6/M00/05/35/cjd0iVFCE8yT6L2qXtwJQgs05DK9a.jpg!thum,上海市奉贤区X011(航南公路),200元/天,121.57108903114207,30.994068142631807
31,34,友谊西路富桥路,https://www.haodiaoyu.com/diaochang/shanghai/57910.html,http://p3.diaoyur.cn/group3/M00/09/02/cjd0iVHbUSjRNBltdC9VcK3erDIxg.jpg!thum,上海市宝山区富联二路289弄-178号,免费,121.41200830061746,31.376959260126416
32,35,双喜路钓点,https://www.haodiaoyu.com/diaochang/shanghai/57834.html,http://p2.diaoyur.cn/group2/M00/08/F5/cjd0iVfSP5LuIMae-6znscgtZTwVj.jpg!thum,上海市松江区双喜路8号,免费,121.26583280132044,31.082958799311882
33,36,上海环南水产养殖,https://www.haodiaoyu.com/diaochang/shanghai/57662.html,http://p5.diaoyur.cn/group5/M00/04/CB/cjd0iV8npiyc4Fw7JYuRbvs2kmHgK.jpg!thum,上海市青浦区东徐联路,50元/天,121.29204406703322,31.16760114614006
34,37,浏翔公路,https://www.haodiaoyu.com/diaochang/shanghai/57357.html,http://p4.diaoyur.cn/group4/M00/08/85/cjd0iV1pqJkOyVwtaEBGvfg-b9705.jpg!thum,上海市嘉定区大治路300号,免费,121.30893702643662,31.38407912361083
35,38,宏利瑞园,https://www.haodiaoyu.com/diaochang/shanghai/57337.html,http://p4.diaoyur.cn/group4/M00/08/82/cjd0iVzC41MAST7BdtJg3R8i2WobV.jpg!thum,上海市嘉定区云安路,免费,121.32839056167929,31.320649999640505
36,39,野钓,https://www.haodiaoyu.com/diaochang/shanghai/57323.html,http://p5.diaoyur.cn/group5/M00/04/81/cjd0iVfL5GWJVgSXBx8zIY-kqyacd.jpg!thum,上海市宝山区X651(潘泾路),免费,121.37274695999837,31.356143906314838
37,40,九洲世贸食品酒店用品边小河,https://www.haodiaoyu.com/diaochang/shanghai/57187.html,http://p2.diaoyur.cn/group2/M00/08/63/cjd0iVwdJyZ-HmUrTfCsoB5EOGWj6.jpg!thum,上海市松江区X347(莘砖公路),免费,121.23447959624146,31.037135176464492
38,41,山客垂钓基地,https://www.haodiaoyu.com/diaochang/shanghai/57151.html,http://p4.diaoyur.cn/group4/M00/08/5C/cjd0iVS9HlU-tswDJ5CLAVxvznTFW.jpg!thum,上海市青浦区环大莲湖路,免费,120.99692281192445,31.057186525853755
39,42,三湘海上名邸,https://www.haodiaoyu.com/diaochang/shanghai/57148.html,http://p4.diaoyur.cn/group4/M00/08/5B/cjd0iVhj8ZSnQg2IXuTarVMbvWAF5.jpg!thum,上海市嘉定区X033(浏翔公路),免费,121.27259505835202,31.3801553396772
40,45,周东路桥,https://www.haodiaoyu.com/diaochang/shanghai/57104.html,http://p4.diaoyur.cn/group4/M00/08/4F/cjd0iVpghTFy08bmAW5EIna3edrZS.jpg!thum,上海市浦东新区秀浦路1172,免费,121.58630250059794,31.134320913895912
41,46,奉城东门港,https://www.haodiaoyu.com/diaochang/shanghai/57050.html,http://p3.diaoyur.cn/group3/M00/08/45/cjd0iVQl6dGoqXpDij0EPghTZ2WLC.jpg!thum,上海市奉贤区政苑路,免费,121.65885767275704,30.917212786482263
42,47,野塘,https://www.haodiaoyu.com/diaochang/shanghai/57017.html,http://p4.diaoyur.cn/group4/M00/08/40/cjd0iV5hkp4aoWR-wX9K2sqjdiPxZ.jpg!thum,上海市奉贤区贤浦路,免费,121.48050373643107,30.923720110285377
43,48,小径诃,https://www.haodiaoyu.com/diaochang/shanghai/57012.html,http://p4.diaoyur.cn/group4/M00/08/3F/cjd0iVjBQoJRMZLW1HrDvp3b0Ve-U.jpg!thum,上海市嘉定区G2(京沪高速),免费,121.27259505835202,31.3801553396772
44,49,苏州河,https://www.haodiaoyu.com/diaochang/shanghai/57006.html,http://p4.diaoyur.cn/group4/M00/08/41/cjd0iV38cgl1KuerLnUoyVTGPq9dk.jpg!thum,上海市嘉定区邓家角村路,免费,121.20502077644903,31.262393635062423
45,50,崇明北沿河,https://www.haodiaoyu.com/diaochang/shanghai/57003.html,http://p6.diaoyur.cn/group6/M00/04/3C/cjd0iVakTOZXlLwISnM-Ae6WNRzsK.jpg!thum,上海市崇明县X501(北沿公路),免费,121.39989459871369,31.754157877412
46,51,新疆路团结塘路,https://www.haodiaoyu.com/diaochang/shanghai/56970.html,http://p4.diaoyur.cn/group4/M00/08/33/cjd0iVdS6zaoIeRZDUJicNW4jPnAb.jpg!thum,上海市奉贤区团结塘路,免费,121.60593625119706,30.844685781936363
47,52,长浜河,https://www.haodiaoyu.com/diaochang/shanghai/56964.html,http://p3.diaoyur.cn/group3/M00/08/30/cjd0iVjUvI3ZnACc6aV5Q4XtiNMfH.jpg!thum,上海市宝山区南卫路39-7,免费,121.36684297998325,31.3911815311677
48,53,星火公路桥,https://www.haodiaoyu.com/diaochang/shanghai/56958.html,http://p5.diaoyur.cn/group5/M00/04/31/cjd0iVhOx3t72pTa8crjWFDPJVEqZ.jpg!thum,上海市奉贤区海中路325,免费,121.61334017953239,30.859156434543035
49,54,连浦河,https://www.haodiaoyu.com/diaochang/shanghai/56596.html,http://p5.diaoyur.cn/group5/M00/03/D4/cjd0iVQT7lxbM-59jKvpGsmyg1koa.jpg!thum,上海市嘉定区槎溪路,免费,121.32630677316745,31.297008840243638
50,55,丽景花园,https://www.haodiaoyu.com/diaochang/shanghai/56536.html,http://p3.diaoyur.cn/group3/M00/07/C6/cjd0iVsUw9LVY3iZxS5m-67Ta4Kol.jpg!thum,上海市宝山区水产西路,免费,121.4267695963169,31.363651573771495
51,56,野河,https://www.haodiaoyu.com/diaochang/shanghai/56527.html,http://p6.diaoyur.cn/group6/M00/03/C5/cjd0iV7zFJgntYqr30oQ1wkpABlEi.jpg!thum,上海市嘉定区嘉松北路7903号,免费,121.21199453008073,31.267888345964902
52,57,野河,https://www.haodiaoyu.com/diaochang/shanghai/56398.html,http://p3.diaoyur.cn/group3/M00/07/A0/cjd0iVGgVrFWAZowqlIO5L7h2Macf.jpg!thum,上海市嘉定区春浓路99号,免费,121.25284552335908,31.282881990100595
53,58,丰茂钓场,https://www.haodiaoyu.com/diaochang/shanghai/56373.html,http://p6.diaoyur.cn/group6/M00/03/9B/cjd0iVeF2orZYqNbAjniMXVKUQE73.jpg!thum,上海市浦东新区龄七路,14元/斤,121.71949727597057,31.143213819880035
54,59,凌空北路张家浜,https://www.haodiaoyu.com/diaochang/shanghai/56287.html,http://p2.diaoyur.cn/group2/M00/07/92/cjd0iVsyXFR52TBp9vI8bgoj3u06Z.jpg!thum,上海市浦东新区虹星路798号-临,免费,121.7042583889603,31.257492441408374
55,60,水产路桥,https://www.haodiaoyu.com/diaochang/shanghai/56276.html,http://p5.diaoyur.cn/group5/M00/03/90/cjd0iVx-VvfEhJnbmKDHg47ueoRMy.jpg!thum,上海市宝山区杨鑫路122号,免费,121.44641740809219,31.373649643648243
56,61,野钓河道,https://www.haodiaoyu.com/diaochang/shanghai/56201.html,http://p6.diaoyur.cn/group6/M00/03/80/cjd0iVwlzsv1F4Z-DTgha89WfEYNd.jpg!thum,上海市金山区建安路,免费,121.09295633853651,30.86126485808475
57,62,柳河泾,https://www.haodiaoyu.com/diaochang/shanghai/56182.html,http://p3.diaoyur.cn/group3/M00/07/7B/cjd0iVbr4lGIYKdJD69xqOca5E1Sw.jpg!thum,上海市青浦区致富路,免费,121.18755888692884,31.17703594816857
58,63,兴豪路野钓,https://www.haodiaoyu.com/diaochang/shanghai/56159.html,http://p5.diaoyur.cn/group5/M00/03/77/cjd0iVYQgDwz09q6ZTnioj8aK1NWk.jpg!thum,上海市金山区建贡路,免费,121.08654532884071,30.869157472305098
59,64,栖时路亚基地,https://www.haodiaoyu.com/diaochang/shanghai/56139.html,http://p5.diaoyur.cn/group5/M00/03/73/cjd0iV2UyCWT1vcejsP0oH3VD46QR.jpg!thum,上海市金山区S4(沪金高速),100元/天,121.34848004512126,30.747852376570318
60,67,风吹麦浪 好运来钓场,https://www.haodiaoyu.com/diaochang/shanghai/56113.html,http://p4.diaoyur.cn/group4/M00/07/69/cjd0iVDcCQTOuePp0sBf-NbInm1Si.jpg!thum,上海市崇明县汲浜公路,200元/天,121.77129697355888,31.5412164805871
61,68,野塘,https://www.haodiaoyu.com/diaochang/shanghai/56101.html,http://p5.diaoyur.cn/group5/M00/03/6B/cjd0iV7GTgjU5fomuxB-zkOpe6Lyv.jpg!thum,上海市宝山区川纪路,免费,121.36861276939729,31.48422083326251
62,69,废弃鱼塘,https://www.haodiaoyu.com/diaochang/shanghai/56095.html,http://p2.diaoyur.cn/group2/M00/07/69/cjd0iV8WgblsEcF94PjDBkRJZ-YH0.jpg!thum,上海市青浦区莲谢路,免费,121.00786490425666,31.0649529015716
63,70,顾村地段医院,https://www.haodiaoyu.com/diaochang/shanghai/56079.html,http://p5.diaoyur.cn/group5/M00/03/67/cjd0iVV48U9FhSIXzbQ5E6MCKyi0D.jpg!thum,上海市宝山区泰和西路3381弄-4-2-临,免费,121.41548447344942,31.35613334471582
64,71,老蔡钓场,https://www.haodiaoyu.com/diaochang/shanghai/56071.html,http://p6.diaoyur.cn/group6/M00/03/64/cjd0iV1PHgwlshqJ2e5a78ZfdYzWL.jpg!thum,上海市浦东新区下盐路辅路,15元/斤,121.55045460683195,31.227348292436346
65,72,联泾港河,https://www.haodiaoyu.com/diaochang/shanghai/56061.html,http://p3.diaoyur.cn/group3/M00/07/61/cjd0iV1MYvj5OhPGuES90xCQNscBi.jpg!thum,上海市长宁区广顺北路,免费,121.35511239459981,31.23536161264476
66,73,小渔塘垂钓园,https://www.haodiaoyu.com/diaochang/shanghai/56038.html,http://p4.diaoyur.cn/group4/M00/07/5C/cjd0iVL9-3AtKyVEnw0iTejBCho5v.jpg!thum,上海市嘉定区X033(浏翔公路),12元/斤,121.27259505835202,31.3801553396772
67,74,永利野河,https://www.haodiaoyu.com/diaochang/shanghai/56027.html,http://p2.diaoyur.cn/group2/M00/07/5B/cjd0iVYkuXSnTrOF8JcqICtQ2RiPW.jpg!thum,上海市浦东新区七甲港,免费,121.55045460683195,31.227348292436346
68,75,新格路,https://www.haodiaoyu.com/diaochang/shanghai/56025.html,http://p6.diaoyur.cn/group6/M00/03/59/cjd0iVFXDwJuIUzcb01rvx3GSiApt.jpg!thum,上海市松江区新格路599,免费,121.28770653330197,31.060537929974952
69,76,福襢钓场,https://www.haodiaoyu.com/diaochang/shanghai/56014.html,http://p3.diaoyur.cn/group3/M00/07/55/cjd0iVSQ4bhDqUt1G06Y9ZRijcaCT.jpg!thum,上海市青浦区G318(沪青平公路),14元/斤,121.13055310467274,31.155454317980737
70,77,馨馨垂钓场,https://www.haodiaoyu.com/diaochang/shanghai/56002.html,http://p6.diaoyur.cn/group6/M00/03/55/cjd0iVLyd8GwDJegjivp7ozRc5Q6M.jpg!thum,上海市崇明县园区南路,100元/天,121.85459558766802,31.592730157780657
71,78,玫瑰园钓场,https://www.haodiaoyu.com/diaochang/shanghai/55981.html,http://p5.diaoyur.cn/group5/M00/03/52/cjd0iVuNQp-m3yIdCGAvt4LBTHwPx.jpg!thum,上海市闵行区先新路278号,15元/斤,121.56621900436217,31.04877994965947
72,79,富联路潘泾河道,https://www.haodiaoyu.com/diaochang/shanghai/55966.html,http://p6.diaoyur.cn/group6/M00/03/50/cjd0iVVEDa7AhHG5kWd6-qpU1zFlX.jpg!thum,上海市宝山区富联路1068号,免费,121.40833369209834,31.37601940625354
73,80,丽丽钓场,https://www.haodiaoyu.com/diaochang/shanghai/55953.html,http://p2.diaoyur.cn/group2/M00/07/4C/cjd0iVUzmg7vbrJdhpScDB5TZ9MoX.jpg!thum,上海市奉贤区庄行服务区,100元/天,121.4018666110709,30.89389475769136
74,81,飞机垂钓中心,https://www.haodiaoyu.com/diaochang/shanghai/55940.html,http://p6.diaoyur.cn/group6/M00/03/4A/cjd0iV4KHO9mlvUrpTnco3AzDLQg8.jpg!thum,上海市奉贤区Y432(浦卫公路),15元/斤,121.48050373643107,30.923720110285377
75,82,新车公路2号桥,https://www.haodiaoyu.com/diaochang/shanghai/55919.html,http://p5.diaoyur.cn/group5/M00/03/47/cjd0iV2WZGLhz8VubrnKMBa4E9vCX.jpg!thum,上海市松江区G15(沈海高速),免费,121.32730590628447,31.163470616247203
76,83,红林路,https://www.haodiaoyu.com/diaochang/shanghai/55906.html,http://p2.diaoyur.cn/group2/M00/07/3F/cjd0iVZab-0vk3njsuJ2XYP8dh46O.jpg!thum,上海市宝山区红林路,免费,121.4328557158589,31.371831549250352
77,84,崇明北八效钓场,https://www.haodiaoyu.com/diaochang/shanghai/55902.html,http://p6.diaoyur.cn/group6/M00/03/40/cjd0iVcE62SKUbVWykHzBLmtIsA1o.jpg!thum,上海市崇明县,100元/天,121.40355686271847,31.62856998440405
78,85,菊泉街河道,https://www.haodiaoyu.com/diaochang/shanghai/55891.html,http://p5.diaoyur.cn/group5/M00/03/3D/cjd0iVyXHNUlocD8qTjb92ZQAg-Yw.jpg!thum,上海市宝山区菊泉街,免费,121.37909236284956,31.367338260278515
79,86,滁泾桥,https://www.haodiaoyu.com/diaochang/shanghai/55890.html,http://p3.diaoyur.cn/group3/M00/07/3B/cjd0iVhk49ZGcPfrHRXQCSe1Dnt7l.jpg!thum,上海市青浦区垂姚路,免费,121.22661857592706,31.164483531026594
80,89,青秀城小区门口,https://www.haodiaoyu.com/diaochang/shanghai/55884.html,http://p4.diaoyur.cn/group4/M00/07/35/cjd0iVXl25APEkTQZF87f0W-4VC6K.jpg!thum,上海市宝山区宝安公路1029号,免费,121.34701910220107,31.355602443623727
81,90,联友路钓场,https://www.haodiaoyu.com/diaochang/shanghai/55880.html,http://p5.diaoyur.cn/group5/M00/03/37/cjd0iV5TIStm9Fu2Cy1468sowbpQh.jpg!thum,上海市闵行区联友路1187号,免费,121.28115459698863,31.2244058638413
82,91,九星市场里面,https://www.haodiaoyu.com/diaochang/shanghai/55869.html,http://p5.diaoyur.cn/group5/M00/03/33/cjd0iVvKUnyR13Bez9oJulQOCbL-k.jpg!thum,上海市闵行区星北街29号,免费,121.37919556400432,31.15965074897682
83,92,园国路吴塘河桥,https://www.haodiaoyu.com/diaochang/shanghai/55807.html,http://p4.diaoyur.cn/group4/M00/07/16/cjd0iVV52IHOjufSWyClXqJvkgT3Z.jpg!thum,上海市嘉定区园国路920号,免费,121.19537528248168,31.335854336410126
84,93,草莓园,https://www.haodiaoyu.com/diaochang/shanghai/55746.html,http://p2.diaoyur.cn/group2/M00/06/FC/cjd0iV5B48zEV7OHnoaKPL0MYRymp.jpg!thum,上海市浦东新区Y3903(跃丰路),免费,121.71927263222017,31.23370259743123
85,94,九新公路亭园小区,https://www.haodiaoyu.com/diaochang/shanghai/55678.html,http://p5.diaoyur.cn/group5/M00/02/F4/cjd0iVtCOqmxMBvPko2wrfpi7QDsS.jpg!thum,上海市松江区九新公路10弄-1,免费,121.32331841705793,31.087189263158713
86,95,龙东大道旁边的野河,https://www.haodiaoyu.com/diaochang/shanghai/55582.html,http://p3.diaoyur.cn/group3/M00/06/E0/cjd0iVEz6fGB5oOYkl8SA09VgDmnt.jpg!thum,上海市浦东新区龙东大道4493号,免费,121.66982582672871,31.235929999424457
87,96,利群敬老院旁边野河,https://www.haodiaoyu.com/diaochang/shanghai/55578.html,http://p2.diaoyur.cn/group2/M00/06/E0/cjd0iV1RnY-W7GPQdlqC0bZx6uF8k.jpg!thum,上海市浦东新区Y177(王家桥路),免费,121.65277879086253,31.290487771739045
88,97,东胜路龙东大道运河,https://www.haodiaoyu.com/diaochang/shanghai/55562.html,http://p5.diaoyur.cn/group5/M00/02/DF/cjd0iVZwJz95cPLKnjSXbRvh3-UY0.jpg!thum,上海市浦东新区东胜路506号,免费,121.70265602662552,31.238268565092316
89,98,唐唐垂钓中心,https://www.haodiaoyu.com/diaochang/shanghai/55554.html,http://p6.diaoyur.cn/group6/M00/02/DC/cjd0iVLxtVIghybq5-TA48UGSDQwK.jpg!thum,上海市奉贤区X413(大亭公路),100元/天,121.48050373643107,30.923720110285377
90,99,巷盛钓场,https://www.haodiaoyu.com/diaochang/shanghai/55529.html,http://p3.diaoyur.cn/group3/M00/06/D9/cjd0iV-d3woTk0hu4cgELm85sVMAF.jpg!thum,上海市青浦区沪青平公路3389,300元/天,121.20642760372516,31.155057014311488
91,100,柘林镇胡桥迎龙村329号,https://www.haodiaoyu.com/diaochang/shanghai/55511.html,http://p6.diaoyur.cn/group6/M00/02/D5/cjd0iVewHM2ZgAotcu1k7Wr6QV-nN.jpg!thum,上海市奉贤区科工路,50元/天,121.43140507642646,30.84664712513095
92,101,东永路野河,https://www.haodiaoyu.com/diaochang/shanghai/55467.html,http://p6.diaoyur.cn/group6/M00/02/CE/cjd0iVVJMOELCTsWHc4bm6AFX5tPd.jpg!thum,上海市浦东新区东永路,免费,121.69648422850058,31.196211081723092
93,102,胜利路野钓,https://www.haodiaoyu.com/diaochang/shanghai/55450.html,http://p3.diaoyur.cn/group3/M00/06/CD/cjd0iVfwzJ53t2aBRcyLE8ZSAk90P.jpg!thum,上海市浦东新区恒庆路,免费,121.71503222148407,31.256320266951214
94,103,吴河路,https://www.haodiaoyu.com/diaochang/shanghai/55329.html,http://p5.diaoyur.cn/group5/M00/02/BE/cjd0iVQS5xJHnO3iX-mtYaP0Mqgz8.jpg!thum,上海市闵行区吴河路458号,免费,121.43607661695262,31.051190981271983
95,104,万三支河,https://www.haodiaoyu.com/diaochang/shanghai/55254.html,http://p4.diaoyur.cn/group4/M00/06/AE/cjd0iVAFuOnteRXb8vfm40xsla1-E.jpg!thum,上海市浦东新区田融路,免费,121.55045460683195,31.227348292436346
96,105,新泾北苑后面,https://www.haodiaoyu.com/diaochang/shanghai/55224.html,http://p6.diaoyur.cn/group6/M00/02/AB/cjd0iVNbDhZoQPiuI5KJjg4ecGds8.jpg!thum,上海市长宁区S20(环西二大道),免费,121.3586419465418,31.256062927160436
97,106,育绿小区,https://www.haodiaoyu.com/diaochang/shanghai/55205.html,http://p4.diaoyur.cn/group4/M00/06/A5/cjd0iVbDRhp7YMBnmk1QrfgyJAZs8.jpg!thum,上海市嘉定区宝育路,免费,121.2976003444261,31.344094397323545
98,107,龙东大道，小白路路口野塘,https://www.haodiaoyu.com/diaochang/shanghai/55159.html,http://p6.diaoyur.cn/group6/M00/02/9B/cjd0iV3htaeURG8V2w5-i0JIyA6rK.jpg!thum,上海市浦东新区小白路888号,免费,121.71324342482373,31.240344343079208
99,108,经二路桥,https://www.haodiaoyu.com/diaochang/shanghai/55156.html,http://p5.diaoyur.cn/group5/M00/02/9E/cjd0iVr5ZeLfxn2K87Os9qaAH0Dtu.jpg!thum,上海市杨浦区清流环二路,免费,121.50741306277935,31.324445302890968
100,111,小白路,https://www.haodiaoyu.com/diaochang/shanghai/55084.html,http://p2.diaoyur.cn/group2/M00/06/8D/cjd0iV7gl4UdF0buHfMSvZinP6Cje.jpg!thum,上海市浦东新区小白路,免费,121.70945549326794,31.239285748612907
101,112,浦东新区小白路运河,https://www.haodiaoyu.com/diaochang/shanghai/55059.html,http://p6.diaoyur.cn/group6/M00/02/87/cjd0iVY2m1KDasEO84pgZkbG7ofWV.jpg!thum,上海市浦东新区小白路,免费,121.70945549326794,31.239285748612907
102,113,张家浜共和桥路,https://www.haodiaoyu.com/diaochang/shanghai/54856.html,http://p6.diaoyur.cn/group6/M00/02/5C/cjd0iVhnql73bjtQZzMPNugRCB5sx.jpg!thum,上海市浦东新区新港西街,免费,121.70028237917988,31.25630165994692
